family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
qwen3,14b,4e-07,0.01,1400,47744.7,72.01365187713311,35.35353535353536,92.41849886277484,82.17486556462856,78.83569096844396,66.69929989225375,88.04366857715307,76.0,85.57692307692307,56.14123410377873,1289.0414630060818,0.25921371544765953,1.73117171613392,0.7944711702426633
qwen3,14b,4e-07,0.01,1600,54565.4,71.9283276450512,36.86868686868687,92.41849886277484,82.22465644293966,78.61806311207835,66.84129385048367,88.01369255796841,77.13333333333333,88.53503184713377,54.09114823855408,1285.500335494788,0.3136611723707284,1.7061037714378509,0.8200039356678638
qwen3,14b,4e-07,0.01,1800,61386.1,72.18430034129693,34.84848484848485,92.41849886277484,82.24457279426409,78.40043525571274,66.92763412425022,87.92127111619392,78.33333333333333,88.53503184713377,54.18218200084096,1302.9205484238546,0.15315482598760727,1.9003692831696652,0.7885055376901738
qwen3,14b,4e-07,0.01,2000,68206.7,72.35494880546075,36.36363636363637,92.11523881728584,82.22465644293966,78.61806311207835,66.91920527651565,87.09945167710563,76.96666666666665,83.43949044585987,54.73252660207297,1274.021378618812,0.29645306964343515,1.4680380892487177,0.722483985863538
qwen3,14b,4e-07,0.01,2031,69264.0,72.35494880546075,34.84848484848485,91.73616376042456,82.20474009161521,78.78128400435256,66.94379739346277,87.4179399548753,77.16666666666666,87.09677419354838,53.90333342797354,1279.6366173810557,0.11260113032552664,1.6682900659025297,0.6783061978080732
qwen3,14b,4e-07,0.02,200,6791.6,69.28327645051195,35.858585858585855,87.49052312357847,81.26867157936665,79.86942328618063,55.57876043290193,87.28180117643409,56.3,66.55844155844156,21.23272771178742,1114.899735923618,-0.4852918022318467,-1.0174866293741878,-0.6788171939199708
qwen3,14b,4e-07,0.02,400,13583.3,70.30716723549489,35.858585858585855,88.77937831690674,81.97570205138419,80.57671381936888,60.4718358848376,87.1456623979929,70.13333333333333,76.28205128205127,43.417361925273255,1221.4725482455528,-0.028782074413609297,-0.08806119838476963,-0.05033811949403124
qwen3,14b,4e-07,0.02,600,20374.9,71.41638225255973,36.36363636363637,90.14404852160727,82.06532563234416,79.70620239390642,63.32570921499517,87.58904152094222,69.73333333333333,80.5921052631579,49.93414038229095,1248.98285552934,0.09987860413626984,0.35917664749318473,0.19416880172060258
qwen3,14b,4e-07,0.02,800,27166.6,71.41638225255973,36.36363636363637,91.0538286580743,81.98566022704641,79.5429815016322,64.12363324574952,87.05324095621839,72.7,87.33766233766234,49.53070257935941,1263.068311127422,0.13325328458358143,0.9451176161805224,0.42847667789155996
qwen3,14b,4e-07,0.02,1000,33958.2,71.67235494880546,38.38383838383838,91.66034874905232,82.06532563234416,79.4885745375408,64.5490944609174,86.80844603430012,73.69999999999999,83.66013071895425,50.099235366296256,1265.9724663831894,0.3946286681695323,0.9127433357127579,0.5830340018216144
qwen3,14b,4e-07,0.02,1200,40749.9,71.67235494880546,37.37373737373738,91.73616376042456,82.12507468631746,79.4341675734494,64.60476097841207,86.35381897808925,72.16666666666666,84.640522875817,49.98481020899841,1250.035931303092,0.33184606330929955,0.7768922975689687,0.493681057585543
qwen3,14b,4e-07,0.02,1400,47541.5,71.41638225255973,37.37373737373738,91.96360879454132,82.0852419836686,79.5429815016322,64.79553791027153,87.37422261820858,72.89999999999999,82.02614379084967,49.93039325284888,1256.8590816935834,0.33787325379911565,0.8198222558030492,0.5131274363460006
qwen3,14b,4e-07,0.02,1600,54333.1,71.75767918088737,36.86868686868687,91.96360879454132,82.07528380800638,79.379760609358,64.87366654522194,86.50619245823303,71.83333333333333,83.22368421052632,49.70095911382919,1249.6512583939436,0.24733919132008367,0.7494160943995704,0.42991261062171515
qwen3,14b,4e-07,0.02,1800,61124.8,71.75767918088737,36.86868686868687,91.66034874905232,82.10515833499304,79.379760609358,64.98986298384382,86.596120515787,71.1,85.16129032258064,50.41303227366789,1265.845671767195,0.26043814338076204,0.9509294199927056,0.5115258803305597
qwen3,14b,4e-07,0.02,2000,67916.4,71.75767918088737,36.86868686868687,92.03942380591356,82.00557657837084,79.4885745375408,64.97513542765303,86.2751388537968,71.03333333333333,85.71428571428571,49.92770887000548,1241.339331774067,0.2933731865732157,0.8845517128900372,0.508347196142969
qwen3,14b,4e-07,0.02,2031,68969.1,71.75767918088737,36.86868686868687,91.73616376042456,82.10515833499304,79.59738846572361,65.02096329899419,86.307608257202,70.5,85.80645161290322,49.85296554506276,1249.99669514688,0.262620972438455,0.8836021251761348,0.48843230070670224
qwen3,14b,4e-07,0.04,200,6839.7,69.19795221843003,36.36363636363637,87.41470811220621,81.15913164708225,80.08705114254624,55.55979158175093,88.56074105595376,56.73333333333333,63.54838709677419,21.76054530180152,1115.12459049485,-0.33332009208743824,-1.0651372617106307,-0.5994354264958719
qwen3,14b,4e-07,0.04,400,13679.4,69.88054607508532,35.858585858585855,88.40030326004549,81.61720772754431,80.19586507072906,59.19325333367419,86.47870982326893,65.36666666666666,77.12418300653596,35.170888858596285,1192.3992331023244,-0.32092088957283965,-0.5824125249763186,-0.4160087569922865
qwen3,14b,4e-07,0.04,600,20519.1,70.90443686006826,37.37373737373738,89.31008339651251,81.7765385381398,80.25027203482045,61.1176731631254,86.46247512156633,68.1,79.60526315789474,39.16343818083636,1223.4310975255005,-0.05953725992792185,-0.1627895968064742,-0.09708356424739545
qwen3,14b,4e-07,0.04,800,27358.8,71.07508532423208,36.86868686868687,89.84078847611828,81.91595299741088,80.14145810663766,61.7924231289941,86.91710217777718,66.83333333333333,77.45098039215686,41.71063797157041,1221.6935293960644,-0.0012187811760838402,-0.3952067678234904,-0.14448713995695897
qwen3,14b,4e-07,0.04,1000,34198.5,70.98976109215018,38.38383838383838,90.29567854435176,81.79645488946426,79.81501632208922,62.29962064795303,87.65148694353205,69.76666666666667,76.77419354838709,42.864287318868186,1218.1199603095113,0.10076128295086799,-0.2534947560249341,-0.02805909485851458
qwen3,14b,4e-07,0.04,1200,41038.2,71.41638225255973,37.37373737373738,90.21986353297952,81.75662218681538,79.97823721436343,62.35115448914472,87.70894559768082,70.26666666666667,77.30263157894737,41.62470862027507,1224.814478042155,0.08227353251150761,-0.3871971331030814,-0.08844307316652476
qwen3,14b,4e-07,0.04,1400,47877.9,70.98976109215018,38.38383838383838,90.44730856709629,81.83628759211312,79.70620239390642,62.566560963843045,87.72518029938342,70.16666666666666,76.94805194805194,41.79215691039992,1232.5263696125926,0.0687973665816064,-0.2054938754924005,-0.030944903263487023
qwen3,14b,4e-07,0.04,1600,54717.6,70.90443686006826,37.37373737373738,90.44730856709629,81.85620394343756,79.97823721436343,62.60273870408973,87.15940371547495,68.63333333333333,76.92307692307693,40.810973262509854,1237.1251791937066,0.02737247898527963,-0.18048577362138188,-0.04821234014441545
qwen3,14b,4e-07,0.04,1800,61557.3,70.90443686006826,38.38383838383838,90.82638362395754,81.7665803624776,79.5429815016322,62.59178818572924,86.67230725585891,67.56666666666666,80.26315789473685,42.17560353098384,1218.904761413367,0.03413987093664512,-0.19784371125119948,-0.0502177953134802
qwen3,14b,4e-07,0.04,2000,68397.0,71.33105802047781,37.37373737373738,91.0538286580743,81.80641306512648,79.76060935799782,62.60419570597817,86.79470471681805,68.86666666666666,76.97368421052632,40.38144703118214,1235.1865026046703,0.09871605178072355,-0.22363093914603055,-0.018501035829005193
qwen3,14b,4e-07,0.04,2031,69457.1,70.90443686006826,36.86868686868687,90.5989385898408,81.78649671380202,79.65179542981502,62.565596251756176,86.20144549794544,67.46666666666667,79.41176470588235,40.91318166557741,1210.956380161488,-0.16731713680935148,-0.31220866888539023,-0.22000496665518376
qwen3,14b,8e-07,0.01,200,6859.2,69.88054607508532,36.36363636363637,88.24867323730099,81.91595299741088,80.25027203482045,58.17970144217918,86.94707819696184,67.19999999999999,72.25806451612902,37.80613202493395,1165.3083959534797,0.06015464109641411,-0.03399892033462637,0.025916982394217566
qwen3,14b,8e-07,0.01,400,13718.3,72.26962457337885,38.38383838383838,91.88779378316907,82.194781915953,78.99891186071817,66.17178612656306,86.94707819696184,76.86666666666666,86.7741935483871,56.375468970466805,1304.24913547759,0.645938916547058,1.1868494998957968,0.8426336741284175
