family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,384,2774.0,56.655290102389074,21.71717171717172,31.69067475360121,67.5363473411671,75.24483133841132,47.35952507269591,64.53437988980349,50.49999999999999,53.61842105263158,4.45008636659167,754.9185613419227
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,432,3120.8,57.16723549488054,22.22222222222222,31.766489764973464,67.33718382792271,75.35364526659413,47.43072680858087,65.39365550073805,50.7,51.98675496688742,4.257371775809534,798.8319127720799
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,478,3453.1,56.655290102389074,21.71717171717172,31.99393479909022,67.4268074088827,75.40805223068553,47.43704850592137,64.55061459150609,47.83333333333333,56.41891891891891,5.073182338449947,740.962940661565
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,48,345.3,57.16723549488054,21.71717171717172,34.26838514025777,67.35710017924717,75.46245919477693,47.47417933600852,64.94778299356818,47.99999999999999,52.5974025974026,4.766337216436681,763.7222451513451
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,96,690.6,56.8259385665529,23.737373737373737,31.15996967399545,67.5363473411671,75.46245919477693,47.377569968483456,63.807475276710235,50.93333333333333,50.33333333333333,4.707309550112478,750.4712579157723
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,144,1035.8,57.16723549488054,22.22222222222222,31.53904473085671,67.69567815176259,75.73449401523395,47.6610916204385,63.888648785223204,54.13333333333333,58.108108108108105,5.621373184646437,766.984682675242
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,192,1381.1,57.5938566552901,22.22222222222222,31.842304776345713,67.79525990838479,75.84330794341676,47.43855885069612,65.0152151845991,52.73333333333333,63.42281879194631,6.360424095314722,747.3456921478912
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,240,1726.4,56.996587030716725,24.242424242424242,32.52463987869598,67.9147580163314,76.16974972796517,47.554893124652736,65.7558611151744,56.03333333333333,69.38775510204081,7.181938125924811,771.2532596377262
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,288,2071.7,57.76450511945392,21.21212121212121,32.90371493555724,67.92471619199362,75.95212187159956,47.55310666319432,64.3545237746956,56.29999999999999,59.863945578231295,7.364667976135533,757.4633788728974
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,336,2416.9,58.02047781569966,26.262626262626267,33.81349507202426,67.97450707030472,75.89771490750816,47.68310769718588,65.38866873229698,55.766666666666666,67.48251748251748,7.419696248430103,746.8703310456249
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,384,2762.2,57.508532423208194,22.727272727272727,34.11675511751327,67.99442342162916,76.38737758433079,47.56294125825474,64.38449979388024,54.0,63.94557823129252,7.524928098313974,789.1062404733068
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,432,3107.5,57.67918088737202,24.242424242424242,33.434420015163,68.06413065126469,75.89771490750816,47.631234327105545,66.98859027380684,55.0,62.5,7.1920894412395135,780.1898826051494
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,478,3438.4,57.25255972696246,23.232323232323232,34.19257012888552,68.01433977295359,76.00652883569097,47.6024615073872,64.44694521647007,54.13333333333333,68.40277777777779,7.459847232683418,782.8894255218635
