family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,48,348.5,56.655290102389074,23.737373737373737,34.34420015163002,67.26747659828719,75.40805223068553,47.497285336840775,64.18840897706973,48.36666666666666,48.675496688741724,3.793825189123479,734.8872453943688,0.0032176174745239816,-0.714070831368984,-0.2576145457412971,-0.35542660694723
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,96,697.0,56.31399317406144,22.727272727272727,32.752084912812734,67.33718382792271,75.40805223068553,47.26467905093362,64.79042274498332,48.86666666666666,55.29801324503312,4.854716895578635,786.1228438538338,-0.5151799124802007,0.8631080645965165,-0.013984284452303547,0.1739640760581579
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,144,1045.6,56.8259385665529,21.71717171717172,32.60045489006823,67.32722565226051,75.24483133841132,47.38640602478057,65.79708506762057,48.43333333333333,48.701298701298704,4.432635036102159,742.1946580981773,-0.3687040772189349,-0.8285487841650653,-0.5359203342902551,-0.5986264306920001
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,192,1394.1,56.8259385665529,20.707070707070706,32.90371493555724,67.19776936865166,75.57127312295974,47.2723543245817,64.75795334157812,52.56666666666666,50.649350649350644,4.685720922953484,740.7141902553016,-0.48385068216601995,-0.40731178328466366,-0.45601835530007223,-0.4455812327253418
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,240,1742.6,56.8259385665529,22.727272727272727,33.81349507202426,67.36705835490937,75.51686615886834,47.31339122477522,65.2475431854147,50.8,45.39473684210527,4.730588061633142,744.5501976103766,-0.14716567307027847,-1.0569041592355377,-0.47797966803946373,-0.602034916152908
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,288,2091.1,56.8259385665529,22.22222222222222,34.420015163002276,67.23760207130054,75.24483133841132,47.29399875883751,63.454024211314874,50.266666666666666,50.98684210526315,4.256647281019914,745.9570826911558,-0.7161247758250759,-0.9440231729128341,-0.7989969202206243,-0.830073974368955
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,336,2439.6,56.655290102389074,23.232323232323232,32.676269901440484,67.23760207130054,75.29923830250273,47.29114066812615,64.56435590898815,49.766666666666666,50.0,3.61507779481657,744.320140567241,-0.7394247630955295,-0.8067993304367155,-0.7639246057650517,-0.7731120467661226
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,384,2788.2,56.996587030716725,22.727272727272727,33.131159969673995,67.20772754431388,75.1904243743199,47.28865089612032,64.80915083090643,49.166666666666664,50.66225165562914,4.015125558595877,742.8281212454827,-0.3896348016049087,-1.0801887140901194,-0.6407453152358944,-0.7349117578475141
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,432,3136.7,56.91126279863481,25.757575757575758,33.2827899924185,67.28739294961163,75.35364526659413,47.257870253296836,64.70548145587043,51.0,52.960526315789465,3.7306423806608735,741.6783468793113,-0.3666265334846998,-0.9126608603755888,-0.5651844705359322,-0.6396436969301443
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,478,3470.7,56.8259385665529,24.242424242424242,33.05534495830174,67.22764389563832,75.51686615886834,47.249945355286386,61.701729189661215,50.03333333333333,50.0,4.241628224721944,742.8363845600496,-0.6278671039578873,-0.8678080542478681,-0.7151183586087894,-0.7478375791028777
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,48,354.3,56.8259385665529,25.252525252525253,33.66186504927976,67.09818761202948,75.40805223068553,47.23525693556421,64.6705186682447,49.633333333333326,50.649350649350644,4.538894911219123,762.1362948834434,-0.4577937467176675,0.8055389930654594,0.0015999768398331706,0.17387262317389596
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,96,708.6,56.996587030716725,23.232323232323232,31.69067475360121,67.35710017924717,74.9183895538629,47.33124390106963,65.4161513672611,49.96666666666666,54.333333333333336,4.517314663700138,762.9562895900559,-0.2232904778558288,0.36406451550048824,-0.00970684390807714,0.07038701882232971
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,144,1062.9,57.081911262798634,22.727272727272727,32.069749810462476,67.4268074088827,75.46245919477693,47.32751081958828,64.82538553260903,51.53333333333333,51.34228187919463,4.372842300282279,738.2369596193663,0.00204243306909202,-0.3935319105153079,-0.14180278277978067,-0.19574473872310794
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,192,1417.2,56.91126279863481,21.71717171717172,31.0841546626232,67.31726747659829,75.1360174102285,47.33634714675368,64.53437988980349,52.8,52.30263157894737,4.280572552269607,746.6009328720714,-0.7306140075554788,-0.31622088067708587,-0.5799255977815178,-0.5234174441162823
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,240,1771.5,56.655290102389074,23.737373737373737,30.477634571645183,67.36705835490937,75.0816104461371,47.24473211344354,64.46068653395214,50.33333333333333,54.57516339869281,4.885487206150323,749.799204884312,-0.7365507846702262,-0.6482534419686782,-0.7044426600514815,-0.6924021133194522
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,288,2125.8,56.996587030716725,20.707070707070706,29.946929492039427,67.486556462856,75.29923830250273,47.20922110740177,65.42113813570217,49.16666666666666,57.284768211920536,5.039073934711337,772.0798789959211,-0.5375740304214024,-0.0950833327539857,-0.37666832217870544,-0.31632868158769406
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,336,2480.1,56.74061433447098,23.737373737373737,30.022744503411676,67.486556462856,75.46245919477693,47.346896342213874,64.92030035860405,52.099999999999994,55.960264900662246,4.690628476630995,754.7852993245085,-0.408349827532374,-0.11473856464359382,-0.3015820955728175,-0.2615441960879839
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,384,2834.3,57.33788395904437,23.232323232323232,29.64366944655042,67.56622186815375,75.29923830250273,47.289561024814084,64.06351813189005,51.03333333333333,53.74149659863946,4.643919437985167,765.7450300476451,-0.31793512620647163,-0.4035008576523987,-0.3490499376413541,-0.36071799192943516
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,432,3188.6,57.16723549488054,24.242424242424242,30.78089461713419,67.486556462856,75.57127312295974,47.32714812930065,64.22337176469546,49.099999999999994,54.054054054054056,4.6173454835906265,776.2531807837411,-0.40958185378257833,-0.5614429350079407,-0.4648040651372556,-0.4855123943952595
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,478,3528.2,56.91126279863481,22.727272727272727,29.567854435178166,67.40689105755825,75.29923830250273,47.36526331374147,65.35869271311232,55.46666666666667,61.33333333333333,5.041588203821737,746.5018669598733,-0.5290645174531257,0.24087457468776022,-0.24908666576553085,-0.14409497138268273
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,48,342.4,56.399317406143346,22.22222222222222,35.6330553449583,67.25751842262497,75.62568008705114,47.31585875264268,66.16677083471855,49.56666666666666,51.98675496688742,3.832848178749476,721.3317844151454,0.4548246735383416,-0.2569635128799471,0.19599260574987296,0.09893058032919724
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,96,684.8,56.74061433447098,24.242424242424242,32.97952994692949,67.28739294961163,75.24483133841132,47.30820408857972,63.911144651746255,48.4,50.649350649350644,4.329786915473009,736.7118467954267,-0.17581929387663697,-0.7097434263510278,-0.36997352386732457,-0.4427813601138324
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,144,1027.3,56.484641638225256,22.727272727272727,32.221379833206974,67.23760207130054,75.35364526659413,47.40989417871607,65.91449576013866,50.33333333333333,48.68421052631579,4.554294905289376,733.6159596340945,-0.2904455078641281,-0.7040184978984487,-0.4408356860584266,-0.49723200288128844
